,Borough,SchoolNumber,School Name,Neighborhood
0,Manhattan,PS 1,Alfred F. Smith,Two Bridges
1,Manhattan,PS 11,William T. Harris,Chelsea
2,Manhattan,PS 15,Roberto Clemente,East Village
3,Manhattan,PS 18,Park Terrace,Inwood
4,Manhattan,PS 19,Asher Levy,East Village
5,Manhattan,PS 20,Anna Silver,Lower East Side
6,Manhattan,PS MS 34,Franklin D. Roosevelt,Lower East Side
7,Manhattan,PS 41,Greenwich Village School,Greenwich Village
8,Manhattan,PS 63,S.T.A.R. Academy (Formerly William McKinley),Lower East Side
9,Manhattan,PS 64,Robert Simon,East Village
10,Manhattan,PS 84,Lillian Weber,Upper West Side
11,Manhattan,PS 102,Jaquees Charter School,East Harlem
12,Manhattan,PS 108,School of Authors,East Harlem
13,Manhattan,PS 110,Florence Nightingale,Lower East Side
14,Manhattan,PS 111,Adolph S. Ochs,Hell's Kitchen
15,Manhattan,PS 112,Jose Celso Barbosa,East Harlem
16,Manhattan,PS 115,Alexander Humboldt,Washington Heights
17,Manhattan,PS 116,Mary Lindley Murray,Kips Bay
18,Manhattan,PS 125,Ralph Bunche,Harlem
19,Manhattan,PS 126,Jacob August Riis,Two Bridges
20,Manhattan,PS 128,Audubon,Washington Heights
21,Manhattan,PS 129,John H. Finley,Harlem
22,Manhattan,PS 130,Hernando De Soto,Little Italy
23,Manhattan,PS 132,Juan Pablo Duarte,Fort George
24,Manhattan,PS 134,Henrietta Szold,Lower East Side
25,Manhattan,PS 140,Nathan Straus,Lower East Side
26,Manhattan,PS 142,Amalia Castro,Lower East Side
27,Manhattan,PS 145,The Bloomingdale School,Manhattan Valley
28,Manhattan,PS 146,Anna M. Short,East Harlem
29,Manhattan,PS 150,Tribeca Learning Center,Tribeca
30,Manhattan,PS 152,Dyckman Valley School,Fort George
31,Manhattan,PS 153,Adam Clayton Powell,Hamilton Heights
32,Manhattan,PS 154,The Harriet Tubman Learning Center,Harlem
33,Manhattan,PS 155,William Paca,East Harlem
34,Manhattan,PS 158,Bayard Taylor,Upper East Side
35,Manhattan,PS 161,Pedro Albizu Campos,West Harlem
36,Manhattan,PS 163,Alfred B. Smith,Manhattan Valley
37,Manhattan,PS 165,Robert E. Simon,Manhattan Valley
38,Manhattan,PS 166,The Richard Rogers School of the Arts and Technology,Upper West Side
39,Manhattan,PS 171,Patrick Henry Preparatory School,East Harlem
40,Manhattan,PS 173,,Washington Heights
41,Manhattan,PS 175,Henry H. Garnet,Harlem
42,Manhattan,PS 178,Juan Bosch,Inwood
43,Manhattan,PS 180,Hugo Newman,Harlem
44,Manhattan,PS 182,The Bilingual Bicultural School,East Harlem
45,Manhattan,PS 183,Robert Louis Stevenson,Upper East Side
46,Manhattan,PS MS 184,Shuang Wen School,Lower East Side
47,Manhattan,PS 185,The Locke School of Arts and Engineering,Harlem
48,Manhattan,PS 188,Island School,Lower East Side
49,Manhattan,PS 189,,Washington Heights
50,Manhattan,PS 315,East Village Community,Lower East Side
51,Manhattan,PS 361,Children’s Workshop School,Lower East Side
52,Manhattan,PS 363,Neighborhood School,East Village
53,Manhattan,PS 364,Earth School,Lower East Side
54,Manhattan,PS 452,,Upper West Side
55,Manhattan,PS 527,East Side School for Social Action,"Yorkville, Manhattan"
56,Region 1: The Bronx[edit],PS 2,Morrisania,Morrisania
57,Region 1: The Bronx[edit],PS 7,Kingsbridge,Kingsbridge
58,Region 1: The Bronx[edit],PS 8,Isaac Varian,Norwood
59,Region 1: The Bronx[edit],PS 9,Ryer Avenue Elementary School,Fordham
60,Region 1: The Bronx[edit],PS 11,Highbridge School,Highbridge
61,Region 1: The Bronx[edit],PS 15,Institute for Environmental Learning,University Heights
62,Region 1: The Bronx[edit],PS 21,Philip Sheridan,Wakefield
63,Region 1: The Bronx[edit],PS 24,Spuyten Duyvil,Spuyten Duyvil
64,Region 1: The Bronx[edit],PS 28,Mount Hope,Mount Hope
65,Region 1: The Bronx[edit],PS 32,Belmont,Belmont
66,Region 1: The Bronx[edit],PS 33,Timothy Dwight,University Heights
67,Region 1: The Bronx[edit],PS 37,Multiple Intelligence School,Kingsbridge
68,Region 1: The Bronx[edit],PS 46,Edgar Allan Poe,Fordham
69,Region 1: The Bronx[edit],PS 51,Bronx New School,Belmont
70,Region 1: The Bronx[edit],PS 53,Basheer Quisim,Morrisania
71,Region 1: The Bronx[edit],PS/IS 54,,Fordham
72,Region 1: The Bronx[edit],PS 55,Benjamin Franklin,Morrisania
73,Region 1: The Bronx[edit],PS 56,Norwood Heights,Norwood
74,Region 1: The Bronx[edit],PS 58,,Morrisania
75,Region 1: The Bronx[edit],PS 59,,Fordham
76,Region 1: The Bronx[edit],PS 63,Author’s Academy,Morrisania
77,Region 1: The Bronx[edit],PS 64,Pura Belpre,Mount Eden
78,Region 1: The Bronx[edit],PS 70,Max Schoenfeld,Border of Mount Eden & Mount Hope
79,Region 1: The Bronx[edit],PS 73,Bronx,Highbridge
80,Region 1: The Bronx[edit],PS 79 (closed in 2007),Creston,Fordham
81,Region 1: The Bronx[edit],PS 81,Robert J. Christen,North Riverdale
82,Region 1: The Bronx[edit],PS 85,Great Expectations,Fordham
83,Region 1: The Bronx[edit],PS 90,George Meany,Concourse
84,Region 1: The Bronx[edit],PS 91,Bronx,University Heights
85,Region 1: The Bronx[edit],PS 94,Kings College School,Norwood
86,Region 1: The Bronx[edit],PS 109,Sedgwick,Morris Heights
87,Region 1: The Bronx[edit],PS 110,Theodore Schoenfeld,Morrisania
88,Region 1: The Bronx[edit],PS 126,Dr Marjorie H Dunbar,Highbridge
89,Region 1: The Bronx[edit],PS 128,Mott Hall III,Morrisania
90,Region 1: The Bronx[edit],PS 132,Garrett A Morgan,Morrisania
91,Region 1: The Bronx[edit],PS 159,Luis Munoz Marin,Fordham
92,Region 1: The Bronx[edit],PS 163,Arthur A Schomburg,Fordham
93,Region 1: The Bronx[edit],PS 170,Esteban Vicente,Mount Eden
94,Region 1: The Bronx[edit],PS 199X,The Shakespeare School,Mount Eden
95,Region 1: The Bronx[edit],PS 204,Morris Heights,Morris Heights
96,Region 1: The Bronx[edit],PS 205,Fiorello LaGuardia,Belmont
97,Region 1: The Bronx[edit],P/IS 218,Rafael Hernandez Dual Language,Concourse
98,Region 1: The Bronx[edit],PS 236,Langston Hughes,Mount Hope
99,Region 1: The Bronx[edit],PS 246,Poe Center,Fordham
100,Region 1: The Bronx[edit],PS 306,,Morris Heights
101,Region 1: The Bronx[edit],PS 307,Luisa Pineiro Fuentes School of Science and Discovery,Kingsbridge
102,Region 1: The Bronx[edit],PS 310,Marble Hill,Marble Hill
103,Region 1: The Bronx[edit],PS 315,Lab School,Fordham
104,Region 1: The Bronx[edit],PS 396,,University Heights
105,Region 2: The Bronx[edit],PS 6,West Farms,West Farms
106,Region 2: The Bronx[edit],PS 16,,Washingtonville
107,Region 2: The Bronx[edit],PS 19,Judith K. Weiss,Woodlawn
108,Region 2: The Bronx[edit],PS 21,Phillip H Sheridan,Wakefield
109,Region 2: The Bronx[edit],PS 36,Unionport,Unionport
110,Region 2: The Bronx[edit],PS 41,Gun Hill Road,Olinville
111,Region 2: The Bronx[edit],PS 44,David C Farragut,Fairmount
112,Region 2: The Bronx[edit],PS 47,John Randolph,Soundview
113,Region 2: The Bronx[edit],PS 48,Joseph R Drake,Hunts Point
114,Region 2: The Bronx[edit],PS 50,Clara Barton,East Morrisania
115,Region 2: The Bronx[edit],PS 57,Crescent,East Tremont
116,Region 2: The Bronx[edit],PS 61,Francisco Oller,East Morrisania
117,Region 2: The Bronx[edit],PS 62,Inocensio Casanova,Longwood
118,Region 2: The Bronx[edit],PS 67,Mohegan School,East Tremont
119,Region 2: The Bronx[edit],PS 68,Bronx,Edenwald
120,Region 2: The Bronx[edit],PS 72,Dr William Dorney,Throgs Neck
121,Region 2: The Bronx[edit],PS 75,,Longwood
122,Region 2: The Bronx[edit],PS 76,The Bennington School,Allerton
123,Region 2: The Bronx[edit],PS 78,Anne Hutchinson,Williamsbridge
124,Region 2: The Bronx[edit],PS 83,Donald Hertz,Morris Park
125,Region 2: The Bronx[edit],PS 87,Bronx,Wakefield
126,Region 2: The Bronx[edit],PS 92,Bronx,Tremont
127,Region 2: The Bronx[edit],PS 93,Albert G. Oliver,Soundview
128,Region 2: The Bronx[edit],PS 96,Richard Rodgers,Allerton
129,Region 2: The Bronx[edit],PS 97,Bronx,Pelham Gardens
130,Region 2: The Bronx[edit],PS 100,Isaac Clason,Soundview
131,Region 2: The Bronx[edit],PS 102,Joseph O Loretan,Park Versailles
132,Region 2: The Bronx[edit],PS 105,Senator Abraham Bernstein,Bronxdale
133,Region 2: The Bronx[edit],PS 106,Parkchester,Unionport
134,Region 2: The Bronx[edit],PS 107,,Soundview
135,Region 2: The Bronx[edit],PS 108,Philip J Abinanti,Morris Park
136,Region 2: The Bronx[edit],PS 111,Seton Falls,Edenwald
137,Region 2: The Bronx[edit],PS 112,Bronxwood,Edenwald
138,Region 2: The Bronx[edit],PS 119,,Unionport
139,Region 2: The Bronx[edit],PS 130,Abram Stevens Hewitt,Longwood
140,Region 2: The Bronx[edit],PS 134,George F Bristow,East Morrisania
141,Region 2: The Bronx[edit],PS 138,Samuel Randall,Castle Hill
142,Region 2: The Bronx[edit],PS 140,Eagle,Longwood
143,Region 2: The Bronx[edit],PS 146,Edward Collins,Longwood
144,Region 2: The Bronx[edit],PS 150,Charles James Fox,Longwood
145,Region 2: The Bronx[edit],PS 152,Evergreen,Soundview
146,Region 2: The Bronx[edit],PS 153,Helen Keller,Co-Op City
147,Region 2: The Bronx[edit],PS 160,Walt Disney,Co-Op City
148,Region 2: The Bronx[edit],PS 178,Dr Selman Waksman,Co-Op City
149,Region 2: The Bronx[edit],PS 182,,Clason Point
150,Region 2: The Bronx[edit],PS 194,Countee Cullen,Westchester/Zerega
151,Region 2: The Bronx[edit],PS 195,,Parkchester
152,Region 2: The Bronx[edit],PS 196,,Parkchester
153,Region 2: The Bronx[edit],PS 197,,Soundview
154,Region 2: The Bronx[edit],PS 198,,Morrisania
155,Region 2: The Bronx[edit],PS 211,,Fairmount
156,Region 2: The Bronx[edit],PS 212,,Soundview
157,Region 2: The Bronx[edit],PS 214,Lorraine Hansberry,West Farms
158,Region 2: The Bronx[edit],,The School of Science and Applied Learning,Tremont
159,Region 2: The Bronx[edit],PS 304,Early Childhood School,Throggs Neck
160,Region 2: The Bronx[edit],,New School #1 @ PS 60,
161,Region 2: The Bronx[edit],,New School #2 @ PS 60,
162,Region 2: The Bronx[edit],,Bronx Little School,Park Versailles
163,Region 3: Queens[edit],PS 11,Kathryn Phelan,Woodside
164,Region 3: Queens[edit],PS 12,James B. Colgate,Woodside
165,Region 3: Queens[edit],PS 13,Clement C. Moore,Elmhurst
166,Region 3: Queens[edit],PS 15,Jackie Robinson,St. Albans
167,Region 3: Queens[edit],PS 18,Winchester,Bellerose
168,Region 3: Queens[edit],PS 20,John Bowne,Flushing
169,Region 3: Queens[edit],PS 21,Edward Hart,Linden Hill
170,Region 3: Queens[edit],PS 22,Thomas Jefferson,Flushing
171,Region 3: Queens[edit],PS 24,Andrew Jackson,Flushing
172,Region 3: Queens[edit],PS 26,Rufus King,Fresh Meadows
173,Region 3: Queens[edit],PS 29,,College Point
174,Region 3: Queens[edit],PS 30,Ruby S. Couche,"Rochdale Village, Jamaica"
175,Region 3: Queens[edit],PS 31,Bayside,Bayside
176,Region 3: Queens[edit],PS 32,State Street,Flushing
177,Region 3: Queens[edit],PS 33,Edward M. Funk,Queens Village
178,Region 3: Queens[edit],PS 34,John Harvard,Queens Village
179,Region 3: Queens[edit],PS 35,Nathaniel Woodhull,Hollis
180,Region 3: Queens[edit],PS 36,St. Albans School,St. Albans
181,Region 3: Queens[edit],PS 37,Cynthia Jenkins School,Jamaica
182,Region 3: Queens[edit],PS 38,Rosedale School,Rosedale
183,Region 3: Queens[edit],PS 40,Samuel Huntington,South Jamaica
184,Region 3: Queens[edit],PS 41,Crocheron,Bayside
185,Region 3: Queens[edit],PS 46,Alley Pond,Oakland Gardens
186,Region 3: Queens[edit],PS 48,William Wordsworth,Jamaica
187,Region 3: Queens[edit],PS 49,Dorothy Bonawit Kole,Middle Village
188,Region 3: Queens[edit],PS 50,Talfourd Lawn Elementary School,Briarwood
189,Region 3: Queens[edit],PS 54,Hillside,Hillside
190,Region 3: Queens[edit],PS 55,Maure,South Richmond Hill
191,Region 3: Queens[edit],PS 79,Francis Lewis,Whitestone
192,Region 3: Queens[edit],PS 80,Thurgood Marshall Magnet,Jamaica
193,Region 3: Queens[edit],PS 82,Hammond,Briarwood
194,Region 3: Queens[edit],PS/IS 87,Middle Village,Middle Village
195,Region 3: Queens[edit],PS 88,Seneca,Ridgewood
196,Region 3: Queens[edit],PS 91,Richard Arkwright,Glendale
197,Region 3: Queens[edit],PS 94,David D. Porter,Little Neck
198,Region 3: Queens[edit],PS 95,Eastwood School,Jamaica
199,Region 3: Queens[edit],PS 98,The Douglaston School,Douglaston
200,Region 3: Queens[edit],PS 99,Kew Gardens,Kew Gardens
201,Region 3: Queens[edit],PS 101,School in the Gardens,Forest Hills
202,Region 3: Queens[edit],PS 107,Thomas A. Dooley,Flushing
203,Region 3: Queens[edit],PS/IS 113,Isaac Chauncey,Glendale
204,Region 3: Queens[edit],PS 115,Glen Oaks,"Floral Park, Queens"
205,Region 3: Queens[edit],PS 117,J.Keld/Briarwood School,Briarwood
206,Region 3: Queens[edit],PS 118,Lorraine Hansberry,St. Albans
207,Region 3: Queens[edit],PS 120,Queens,Flushing
208,Region 3: Queens[edit],PS 121,,Richmond Hill
209,Region 3: Queens[edit],PS 122,,Astoria
210,Region 3: Queens[edit],PS 128,Juniper Valley & Lorraine Tuzzo,Middle Village
211,Region 3: Queens[edit],PS 129,Patricia Larkin,College Point
212,Region 3: Queens[edit],PS 130,,Bayside
213,Region 3: Queens[edit],PS 131,Abigail Adams,Jamaica
214,Region 3: Queens[edit],PS 132,Ralph Bunche,Springfield Gardens
215,Region 3: Queens[edit],PS 133,,Bellerose
216,Region 3: Queens[edit],PS 134,The Langston Hughes School,Hollis
217,Region 3: Queens[edit],PS 135,The Bellaire School,Queens Village
218,Region 3: Queens[edit],PS 136,Roy Wilkins,Hollis
219,Region 3: Queens[edit],PS 138,The Sunrise School,Rosedale
220,Region 3: Queens[edit],PS 139,Rego Park,Rego Park
221,Region 3: Queens[edit],PS 140,Edward K. Ellington,Addisleigh Park
222,Region 3: Queens[edit],PS 144,Col. Jeromus Remsen School,Forest Hills
223,Region 3: Queens[edit],PS 147,Ronald McNair,Cambria Heights
224,Region 3: Queens[edit],PS 153,Maspeth Elementary,Maspeth
225,Region 3: Queens[edit],PS 154,,Fresh Meadows
226,Region 3: Queens[edit],PS 159,,Bayside
227,Region 3: Queens[edit],PS 160,Walter Francis Bishop,Briarwood
228,Region 3: Queens[edit],PS 161,Arthur Ashe School,South Richmond Hill
229,Region 3: Queens[edit],PS 162,John Golden,Bayside
230,Region 3: Queens[edit],PS 163,Flushing Heights,Fresh Meadows
231,Region 3: Queens[edit],PS 165,Edith K. Bergtraum,Kew Gardens Hills
232,Region 3: Queens[edit],PS 169,Bay Terrace,Bayside
233,Region 3: Queens[edit],PS 173,The Fresh Meadows School,Fresh Meadows
234,Region 3: Queens[edit],PS 174,William Sidney Mount,Rego Park
235,Region 3: Queens[edit],PS 175,The Lynn Gross Discovery School,Forest Hills
236,Region 3: Queens[edit],PS 176,The Cambria Heights School,Cambria Heights
237,Region 3: Queens[edit],PS 178,,Holliswood
238,Region 3: Queens[edit],PS 181,,Brookfield
239,Region 3: Queens[edit],PS 182,Samantha Smith,Jamaica
240,Region 3: Queens[edit],PS 184,Flushing Manor,Flushing
241,Region 3: Queens[edit],PS 186,Castlewood,Glen Oaks
242,Region 3: Queens[edit],PS 188,Kingsbury,Oakland Gardens
243,Region 3: Queens[edit],PS 191,Mayflower,Floral Park
244,Region 3: Queens[edit],PS 193,Alfred J. Kennedy,Whitestone
245,Region 3: Queens[edit],PS 195,William Haberle School,Rosedale
246,Region 3: Queens[edit],PS 196,Grand Central Parkway,Forest Hills
247,Region 3: Queens[edit],PS 200,Pomonok,Flushing
248,Region 3: Queens[edit],PS 201,Magnet School,Kissena
249,Region 3: Queens[edit],PS 203,Oakland Gardens,Bayside
250,Region 3: Queens[edit],PS 205,Alexander Graham Bell,Oakland Gardens
251,Region 3: Queens[edit],PS 206,Horace Harding,Rego Park
252,Region 3: Queens[edit],PS/IS 208,,Bellerose
253,Region 3: Queens[edit],PS 209,Clearview Gardens,Clearview Gardens
254,Region 3: Queens[edit],PS 213,The Carl Ullman School,Bayside
255,Region 3: Queens[edit],PS 214,Cadwallader Colden,Flushing
256,Region 3: Queens[edit],PS 220,Edward Mandel,Forest Hills
257,Region 3: Queens[edit],PS 221,North Hills,Douglaston
258,Region 3: Queens[edit],PS 242,Leonard P. Stavisky Early Childhood School,Flushing
259,Region 3: Queens[edit],PS 244,Active Learning (EEC),Kew Gardens Hills
260,Region 3: Queens[edit],PS 251,,Queens
261,Region 3: Queens[edit],PS/IS 266,,Bellerose
262,Region 3: Queens[edit],PS/IS 270,Gordon Parks,Rosedale
263,Region 3: Queens[edit],PS 305,Learners & Leaders (EEC),Ridgewood
264,Region 3: Queens[edit],PS 360,,St. Albans
265,Region 4: Queens[edit],PS 2,Alfred Zimberg,Astoria
266,Region 4: Queens[edit],PS 7,Louis F. Simeone,Elmhurst
267,Region 4: Queens[edit],PS 11,Kathryn Phelan,Woodside
268,Region 4: Queens[edit],PS 12,James B. Colgate,Woodside
269,Region 4: Queens[edit],PS 13,Clement C. Moore,Elmhurst
270,Region 4: Queens[edit],PS 14,Fairview,Corona
271,Region 4: Queens[edit],PS 16,Nancy DeBenedittis,Corona
272,Region 4: Queens[edit],PS 17,Henry David Thoreau,Astoria
273,Region 4: Queens[edit],PS 19,Marino Jeantet,Jackson Heights
274,Region 4: Queens[edit],PS 28,The Thomas Emanuel Early Childhood Center,Corona
275,Region 4: Queens[edit],PS 58,School of Heroes,Maspeth
276,Region 4: Queens[edit],PS 68,Cambridge,Glendale
277,Region 4: Queens[edit],PS 69,Jackson Heights,Jackson Heights
278,Region 4: Queens[edit],PS 70,Queens,Astoria
279,Region 4: Queens[edit],PS 71,Forest,Ridgewood
280,Region 4: Queens[edit],PS 76,William Hallet,Long Island City
281,Region 4: Queens[edit],PS/IS 78,Robert F. Wagner Jr.,Long Island City
282,Region 4: Queens[edit],PS 81,Jean Paul Richter,Ridgewood
283,Region 4: Queens[edit],PS 84,Steinway,Astoria
284,Region 4: Queens[edit],PS 85,The Judge Charles J. Vallone School,Astoria
285,Region 4: Queens[edit],PS 86,The Irvington,Jamaica Hills
286,Region 4: Queens[edit],PS 88,Seneca,Ridgewood
287,Region 4: Queens[edit],PS 89,Elmhurst,Elmhurst
288,Region 4: Queens[edit],PS 91,Richard Arkwright,Glendale
289,Region 4: Queens[edit],PS 92,Harry T. Stewart Sr.,Jackson Heights
290,Region 4: Queens[edit],PS 102,Bayview,Elmhurst
291,Region 4: Queens[edit],PS 106,Edward Everett Hale,Edgemere
292,Region 4: Queens[edit],PS 111,Jacob Blackwell,Long Island City
293,Region 4: Queens[edit],PS 112,Dutch Kills,Long Island City
294,Region 4: Queens[edit],PS 113,Isaac Chauncey,Glendale
295,Region 4: Queens[edit],PS 116,Elizabeth L. Farrell,Jamaica
296,Region 4: Queens[edit],PS 123,Suydam,Jamaica
297,Region 4: Queens[edit],PS 128,Juniper Valley,Middle Village
298,Region 4: Queens[edit],PS 143,Louis Armstrong,Corona
299,Region 4: Queens[edit],PS 148,Queens,East Elmhurst
300,Region 4: Queens[edit],PS 149,Christa McAuliffe,Jackson Heights
301,Region 4: Queens[edit],PS 150,Queens,Sunnyside
302,Region 4: Queens[edit],PS 151,Mary D Carter,Astoria
303,Region 4: Queens[edit],PS 152,Gwendolyn Alleyne,Woodside
304,Region 4: Queens[edit],PS 153,Maspeth Elem,Maspeth
305,Region 4: Queens[edit],PS 166,Henry Gradstein,Astoria
306,Region 4: Queens[edit],PS 171,Peter G. Van Alst,Astoria
307,Region 4: Queens[edit],PS 199,Maurice A. Fitzgerald,Sunnyside
308,Region 4: Queens[edit],PS 212,School of Cyberscience and Literacy,Jackson Heights
309,Region 4: Queens[edit],PS 222,F F Christopher A. Santora School,Jackson Heights
310,Region 4: Queens[edit],PS 229,Emmanuel Kaplan,Maspeth
311,Region 4: Queens[edit],PS 234,,Astoria
312,Region 4: Queens[edit],PS 239,P.O. Ramon Suarez,Ridgewood
313,"Region 5: Brooklyn, Queens[edit]",PS 7,Abraham Lincoln,"Cypress Hills, Brooklyn"
314,"Region 5: Brooklyn, Queens[edit]",PS 13,Roberto Clemente,"East New York, Brooklyn"
